,1. open,2. high,3. low,4. close,5. volume
2024-03-18 10:00:00,69.0750,69.4000,68.8000,69.1200,252240
2024-03-18 09:30:00,69.3100,69.5950,69.0000,69.0800,167930
2024-03-15 17:00:00,69.0500,69.0500,69.0500,69.0500,1
2024-03-15 16:30:00,69.1100,69.1100,69.1100,69.1100,400
2024-03-15 16:00:00,69.1300,69.1300,68.9000,69.1100,775194
2024-03-15 15:30:00,69.0400,69.1800,69.0000,69.1300,134862
2024-03-15 15:00:00,69.1500,69.2500,68.9700,69.0500,49261
2024-03-15 14:30:00,69.0150,69.2000,68.9800,69.1300,27315
2024-03-15 14:00:00,69.1100,69.2800,68.9900,69.0300,42012
2024-03-15 13:30:00,69.0800,69.1300,69.0000,69.0800,13242
2024-03-15 13:00:00,69.0000,69.1200,68.9750,69.0000,39334
2024-03-15 12:30:00,68.9550,69.1650,68.9550,69.0450,23761
2024-03-15 12:00:00,69.0600,69.1900,68.9800,68.9950,51725
2024-03-15 11:30:00,69.5650,69.5650,68.9800,69.1100,33682
2024-03-15 11:00:00,69.3500,69.5500,69.3100,69.5350,26667
2024-03-15 10:30:00,69.3700,69.4100,69.0200,69.2800,26197
2024-03-15 10:00:00,69.8900,69.9170,69.2050,69.4100,41431
2024-03-15 09:30:00,70.0200,70.3400,69.7650,69.8900,17123
2024-03-15 09:00:00,70.5500,70.5500,70.5500,70.5500,2
2024-03-14 19:30:00,68.8000,68.8000,68.8000,68.8000,1
2024-03-14 17:30:00,69.9700,69.9700,69.9700,69.9700,2900
2024-03-14 17:00:00,69.9700,69.9700,69.9700,69.9700,1210
2024-03-14 16:30:00,69.9700,69.9700,69.9000,69.9000,3702
2024-03-14 16:00:00,69.9800,69.9900,68.5100,69.9700,585342
2024-03-14 15:30:00,69.5900,69.9900,69.4300,69.9900,169576
2024-03-14 15:00:00,69.7500,69.7800,69.4500,69.5800,25877
2024-03-14 14:30:00,69.8700,69.8700,69.7400,69.7400,11183
2024-03-14 14:00:00,69.9250,69.9500,69.7500,69.8700,17519
2024-03-14 13:30:00,69.7500,69.9000,69.6600,69.9000,20315
2024-03-14 13:00:00,69.7700,69.8500,69.6850,69.7900,32357
2024-03-14 12:30:00,69.9200,70.0380,69.7500,69.7800,36615
2024-03-14 12:00:00,69.6350,69.9700,69.6350,69.9200,18701
2024-03-14 11:30:00,69.6350,69.9600,69.5850,69.6450,51342
2024-03-14 11:00:00,69.5600,69.6800,69.5100,69.6350,31579
2024-03-14 10:30:00,69.8850,70.0000,69.7100,69.7100,38426
2024-03-14 10:00:00,69.4300,69.9900,69.3800,69.8650,14998
2024-03-14 09:30:00,69.7700,70.0000,69.3400,69.3400,18142
2024-03-14 08:00:00,70.0400,70.0400,70.0400,70.0400,1
2024-03-14 07:30:00,69.9900,70.0000,69.9900,70.0000,28
2024-03-13 18:30:00,71.1300,71.1300,71.1300,71.1300,2
2024-03-13 16:30:00,70.0400,70.0400,70.0400,70.0400,33353
2024-03-13 16:00:00,70.0400,70.0800,70.0000,70.0000,635043
2024-03-13 15:30:00,70.1400,70.3000,69.9600,70.0800,323386
2024-03-13 15:00:00,70.0800,70.4100,70.0200,70.1450,83944
2024-03-13 14:30:00,69.9800,70.0800,69.7300,70.0650,58410
